Key;Author;Title;Date;Reference year;Notes;files;No of words;Language;Authorid;Author gender (manual);Author birth;Author death;Size;Time slot;Corpus;First edition;Digital edition;Print edition;Provenance;Titleid;Subgenre;Narrative perspective;Reprint count;Author age (time of writing);Posthumous;Publication statement
DEU022;Arnim, Bettina von;Clemens Brentanos Frühlingskranz;1844;1844;;texts/DEU022.xml;108645;German;http://d-nb.info/gnd/118572393;female;1785;1859;long;1840-1859;ELTeC-deu;1844;;1959;;;;;high;59;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU023;Stifter, Adalbert;Feldblumen;1841;1841;;texts/DEU023.xml;43934;German;http://d-nb.info/gnd/118618156;male;1805;1868;short;1840-1859;ELTeC-deu;1841;;1959;;;;;high;36;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU024;Gutzkow, Karl;Der Zauberer von Rom;1861;1861;"First edition: 1858-1861; print edition: 1858-1861";texts/DEU024.xml;894081;German;http://d-nb.info/gnd/118543830;male;1811;1878;long;1840-1859;ELTeC-deu;1861;;1861;;;;;low;50;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU025;Kürnberger, Ferdinand;Der Amerika-Müde;1855;1855;;texts/DEU025.xml;81837;German;http://d-nb.info/gnd/118567764;male;1823;1879;medium;1840-1859;ELTeC-deu;;;1855;;;;;low;32;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU026;Vischer, Friedrich Theodor;Auch Einer 2;1879;1879;;texts/DEU026.xml;96548;German;http://d-nb.info/gnd/11862721X;male;1807;1887;medium;1860-1879;ELTeC-deu;;;1879;;;;;high;72;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU027;Ebner-Eschenbach, Marie von;Bozena;1876;1876;"author not anonym based upon the tei xml; details of the author added based upon the tei xml; print edition: 1956–1958";texts/DEU027.xml;76679;German;http://d-nb.info/gnd/118528661;female;1830;1916;medium;1860-1879;ELTeC-deu;1876;;1958;;;;;high;46;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU028;François, Louise von;Die letzte Reckenburgerin;1918;1918;;texts/DEU028.xml;108606;German;http://d-nb.info/gnd/118692577;female;1817;1893;long;1860-1879;ELTeC-deu;;;1918;;;;;unspecified;;true;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU029;Raabe, Wilhelm;Alte Nester;1879;1879;print edition: 1964–1966;texts/DEU029.xml;97670;German;http://d-nb.info/gnd/118597442;male;1831;1910;medium;1860-1879;ELTeC-deu;1879;;1966;;;;;low;48;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU030;Freytag, Gustav;Die verlorene Handschrift;1864;1864;Incorrect Digital edition: 1864, corrected to be first edition.;texts/DEU030.xml;307798;German;http://d-nb.info/gnd/pnd:118535455;male;1816;1895;long;1860-1879;ELTeC-deu;1864;;;;;;;high;48;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU031;Raabe, Wilhelm;Der Schüdderump;1870;1870;"First edition: 1969-1970; print edition: 1964-1966";texts/DEU031.xml;135524;German;http://d-nb.info/gnd/118692577;male;1831;1910;long;1860-1879;ELTeC-deu;1970;;1966;;;;;high;39;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU032;Meyer, Conrad Ferdinand;Jürg Jenatsch;1874;1874;"author not anonym based upon the tei xml; details of the author added based upon the tei xml";texts/DEU032.xml;83873;German;http://d-nb.info/gnd/118581775;male;1825;1898;medium;1860-1879;ELTeC-deu;1874;;1968;;;;;high;49;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU033;François, Louise von;Die Geschichte meines Urgroßvaters;1855;1855;;texts/DEU033.xml;37948;German;http://d-nb.info/gnd/118692577;female;1817;1893;short;1860-1879;ELTeC-deu;1855;;1918;;;;;low;38;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU034;Vischer, Friedrich Theodor;Auch Einer 1;1879;1879;;texts/DEU034.xml;98067;German;http://d-nb.info/gnd/11862721X;male;1807;1887;medium;1860-1879;ELTeC-deu;;;1879;;;;;high;72;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU035;Fontane, Theodor;Vor dem Sturm;1878;1878;;texts/DEU035.xml;269471;German;http://d-nb.info/gnd/118534262;male;1819;1898;long;1860-1879;ELTeC-deu;1878;;1973;;;;;high;59;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU036;Keller, Gottfried;Der grüne Heinrich2 [Zweite Fassung];1880;1880;"First edition: 1879-1880; print edition: 1958–1961";texts/DEU036.xml;287409;German;http://d-nb.info/gnd/11856109X;male;1819;1890;long;1860-1879;ELTeC-deu;1880;;1961;;;;;low;61;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU037;Marlitt, Eugenie;Das Heideprinzeßchen;1871;1871;;texts/DEU037.xml;148356;German;http://d-nb.info/gnd/1014122880;female;1825;1887;long;1860-1879;ELTeC-deu;1871;;1900;;;;;low;46;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU038;Raabe, Wilhelm;Der Hungerpastor;1864;1864;"First edition: 1863-1864; print edition: 1964-1966";texts/DEU038.xml;166341;German;http://d-nb.info/gnd/118597442;male;1831;1910;long;1860-1879;ELTeC-deu;1864;;1966;;;;;high;33;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU039;Spielhagen, Friedrich;Problematische Naturen. Erste Abtheilung;1861;1861;;texts/DEU039.xml;225971;German;http://d-nb.info/gnd/118616196;male;1823;1911;long;1860-1879;ELTeC-deu;1861;;1874;;;;;low;38;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU040;Marlitt, Eugenie;Goldelse;1866;1866;;texts/DEU040.xml;118440;German;http://d-nb.info/gnd/1014122880;female;1825;1887;long;1860-1879;ELTeC-deu;1866;;1900;;;;;high;41;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU041;Marlitt, Eugenie;Das Geheimnis der alten Mamsell;1868;1868;;texts/DEU041.xml;105854;German;http://d-nb.info/gnd/1014122880;female;1825;1887;long;1860-1879;ELTeC-deu;1868;;1900;;;;;low;43;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU042;Möllhausen, Balduin;Die Mandanenwaise;1865;1865;;texts/DEU042.xml;223715;German;http://d-nb.info/gnd/118784412;male;1825;1905;long;1860-1879;ELTeC-deu;1865;;1865;;;;;low;40;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU043;Spielhagen, Friedrich;Hammer und Amboß;1869;1869;;texts/DEU043.xml;324738;German;http://d-nb.info/gnd/118616196;male;1823;1911;long;1860-1879;ELTeC-deu;1869;;1874;;;;;low;46;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU044;Dahn, Felix;Kampf um Rom;1876;1876;;texts/DEU044.xml;265086;German;http://d-nb.info/gnd/118523392;male;1834;1912;long;1860-1879;ELTeC-deu;1876;;;;;;;high;42;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU045;Stifter, Adalbert;Witiko;1855;1855;;texts/DEU045.xml;337846;German;http://d-nb.info/gnd/118618156;male;1805;1868;long;1860-1879;ELTeC-deu;1855;;1959;;;;;high;50;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU046;Fontane, Theodor;Grete Minde;1879;1879;;texts/DEU046.xml;39821;German;http://d-nb.info/gnd/118534262;male;1819;1898;short;1860-1879;ELTeC-deu;1879;;1973;;;;;high;60;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU047;François, Louise von;Judith die Kluswirtin;1862;1862;;texts/DEU047.xml;54773;German;http://d-nb.info/gnd/118692577;female;1817;1893;medium;1860-1879;ELTeC-deu;1862;;1918;;;;;low;45;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU048;Freytag, Gustav;Die Ahnen;1880;1880;First edition: 1872-1880;texts/DEU048.xml;715658;German;http://d-nb.info/gnd/118535455;male;1816;1895;long;1860-1879;ELTeC-deu;1880;;1953;;;;;high;64;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU049;Raabe, Wilhelm;Die Leute aus dem Walde, ihre Sterne, Wege und Schicksale;1863;1863;print edition: 1964–1966;texts/DEU049.xml;149073;German;http://d-nb.info/gnd/118692577;male;1831;1910;long;1860-1879;ELTeC-deu;;;1966;;;;;low;32;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU050;Raabe, Wilhelm;Abu Telfan oder Die Heimkehr vom Mondgebirge;1867;1867;print edition: 1964–1966;texts/DEU050.xml;136330;German;http://d-nb.info/gnd/118692577;male;1831;1910;long;1860-1879;ELTeC-deu;1867;;1966;;;;;unspecified;36;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU051;Fontane, Theodor;Unterm Birnbaum;1885;1885;;texts/DEU051.xml;40316;German;http://d-nb.info/gnd/118534262;male;1819;1898;short;1880-1899;ELTeC-deu;1885;;1973;;;;;high;66;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU052;Spyri, Johanna;Heidis Lehr- und Wanderjahre;1880;1880;;texts/DEU052.xml;61406;German;http://d-nb.info/gnd/118616455;female;1827;1901;medium;1880-1899;ELTeC-deu;1880;;1978;;;;;high;53;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU053;Fontane, Theodor;Graf Petöfy;1884;1884;;texts/DEU053.xml;71428;German;http://d-nb.info/gnd/118534262;male;1819;1898;medium;1880-1899;ELTeC-deu;1884;;1973;;;;;high;65;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU054;May, Karl;Am Jenseits;1898;1898;;texts/DEU054.xml;186082;German;http://d-nb.info/gnd/118818651;male;1842;1912;long;1880-1899;ELTeC-deu;1898;;1912;;;;;high;56;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU055;Bahr, Hermann;Die gute Schule;1890;1890;;texts/DEU055.xml;64346;German;http://d-nb.info/gnd/118505955;male;1836;1934;medium;1880-1899;ELTeC-deu;1890;;1898;;;;;low;54;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU056;Conradi, Hermann;Adam Mensch;1889;1889;;texts/DEU056.xml;117914;German;http://d-nb.info/gnd/118669923;male;1862;1890;long;1880-1899;ELTeC-deu;1889;;1889;;;;;unspecified;27;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU057;Dohm, Hedwig;Sibilla Dalmar;1896;1896;;texts/DEU057.xml;97263;German;http://d-nb.info/gnd/11852643X;female;1831;1919;medium;1880-1899;ELTeC-deu;1896;;1897;;;;;low;65;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU058;Ebner-Eschenbach, Marie von;Lotti, die Uhrmacherin;1880;1880;"author not anonym based upon the tei xml; details of the author added based upon the tei xml; print edition: 1956–1958";texts/DEU058.xml;41591;German;http://d-nb.info/gnd/118528661;female;1830;1916;short;1880-1899;ELTeC-deu;1880;;1958;;;;;high;50;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU059;Fontane, Theodor;Irrungen, Wirrungen;1887;1887;;texts/DEU059.xml;63334;German;http://d-nb.info/gnd/118534262;male;1819;1898;medium;1880-1899;ELTeC-deu;1887;;1973;;;;;high;68;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU060;Janitschek, Maria;Die Amazonenschlacht;1897;1897;;texts/DEU060.xml;21931;German;http://d-nb.info/gnd/117078719;female;1859;1927;short;1880-1899;ELTeC-deu;1897;;1897;;;;;low;38;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU061;Bleibtreu, Karl;Größenwahn: ELTeC ausgabe;1888;1888;;texts/DEU061.xml;294270;German;http://d-nb.info/gnd/118663909;male;1859;1928;long;1880-1899;ELTeC-deu;1888;;1888;;;;;low;29;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU062;Polenz, Wilhelm von;Der Büttnerbauer;1895;1895;;texts/DEU062.xml;140675;German;http://d-nb.info/gnd/118803336;male;1861;1903;long;1880-1899;ELTeC-deu;1895;;;;;;;high;34;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU063;Dohm, Hedwig;Wie Frauen werden;1894;1894;;texts/DEU063.xml;38398;German;http://d-nb.info/gnd/11852643X;female;1831;1919;short;1880-1899;ELTeC-deu;1894;;1894;;;;;low;63;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU064;Christen, Ada;Jungfer Mutter;1892;1892;;texts/DEU064.xml;47731;German;http://d-nb.info/gnd/1014783895;female;1839;1901;short;1880-1899;ELTeC-deu;1892;;1964;;;;;low;53;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU065;Spielhagen, Friedrich;Zum Zeitvertreib;1897;1897;;texts/DEU065.xml;67471;German;http://d-nb.info/gnd/118616196;male;1823;1911;medium;1880-1899;ELTeC-deu;1897;;1897;;;;;low;74;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU066;Fontane, Theodor;Der Stechlin;1898;1898;"First edition: 1897-1898; print edition: 1973";texts/DEU066.xml;154063;German;http://d-nb.info/gnd/118534262;male;1819;1898;long;1880-1899;ELTeC-deu;1898;;1973;;;;;high;79;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU067;Ganghofer, Ludwig;Schloß Hubertus;1895;1895;;texts/DEU067.xml;198887;German;http://d-nb.info/gnd/118537490;male;1855;1920;long;1880-1899;ELTeC-deu;1895;;1917;;;;;high;40;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU068;Spitteler, Carl;Conrad;1898;1898;;texts/DEU068.xml;52176;German;http://d-nb.info/gnd/118616277;male;1845;1925;medium;1880-1899;ELTeC-deu;1898;;;;;;;low;53;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU069;Kretzer, Max;Meister Timpe;1888;1888;;texts/DEU069.xml;92656;German;http://d-nb.info/gnd/118715917;male;1854;1941;medium;1880-1899;ELTeC-deu;;;1888;;;;;low;34;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU070;Fontane, Theodor;Schach von Wuthenow;1882;1882;;texts/DEU070.xml;50542;German;http://d-nb.info/gnd/118534262;male;1819;1898;medium;1880-1899;ELTeC-deu;1882;;1973;;;;;high;63;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU071;Fontane, Theodor;Cécile;1886;1886;;texts/DEU071.xml;67507;German;http://d-nb.info/gnd/118534262;male;1819;1898;medium;1880-1899;ELTeC-deu;1886;;1973;;;;;high;67;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU072;Raabe, Wilhelm;Im alten Eisen;1887;1887;;texts/DEU072.xml;64386;German;http://d-nb.info/gnd/118692577;male;1831;1910;medium;1880-1899;ELTeC-deu;1887;;;;;;;high;56;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU073;Dohm, Hedwig;Schicksale einer Seele;1899;1899;;texts/DEU073.xml;104561;German;http://d-nb.info/gnd/11852643X;female;1831;1919;long;1880-1899;ELTeC-deu;1899;;1899;;;;;low;68;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU074;Boy-Ed, Ida;Fanny Förster;1889;1889;;texts/DEU074.xml;84303;German;http://d-nb.info/gnd/118662473;female;1852;1928;medium;1880-1899;ELTeC-deu;1889;;1889;;;;;low;37;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU075;Janitschek, Maria;Ninive;1896;1896;;texts/DEU075.xml;56550;German;http://d-nb.info/gnd/117078719;female;1859;1927;medium;1880-1899;ELTeC-deu;1896;;1896;;;;;low;37;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU076;Wassermann, Jakob;Caspar Hauser;1907;1907;;texts/DEU076.xml;156760;German;http://d-nb.info/gnd/1014784077;male;1873;1934;long;1900-1920;ELTeC-deu;1907;;;;;;;high;34;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU077;Reventlow, Franziska Gräfin zu;Ellen Olestjerne;1903;1903;"author not anonym based upon the tei xml; details of the author added based upon the tei xml";texts/DEU077.xml;73402;German;http://d-nb.info/gnd/118600044;female;1871;1918;medium;1900-1920;ELTeC-deu;1903;;1980;;;;;unspecified;32;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU078;Essig, Hermann;Der Taifun;1919;1919;;texts/DEU078.xml;118751;German;http://d-nb.info/gnd/118531212;male;1878;1918;long;1900-1920;ELTeC-deu;1919;;1919;;;;;low;;true;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU079;Rilke, Rainer Maria;Die Aufzeichnungen des Malte Laurids Brigge;1910;1910;;texts/DEU079.xml;70411;German;http://d-nb.info/gnd/118601024;male;1875;1926;medium;1900-1920;ELTeC-deu;1910;;;;;;;high;35;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU080;Keyserling, Eduard von;Dumala;1907;1907;;texts/DEU080.xml;37961;German;http://d-nb.info/gnd/118561812;male;1855;1918;short;1900-1920;ELTeC-deu;1907;;1922;;;;;low;52;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU081;May, Karl;Und Friede auf Erden!;1907;1907;;texts/DEU081.xml;210053;German;http://d-nb.info/gnd/118818651;male;1842;1912;long;1900-1920;ELTeC-deu;;;1907;;;;;high;65;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU082;Braun, Lily;Lebenssucher;1915;1915;;texts/DEU082.xml;142219;German;http://d-nb.info/gnd/11867353X;female;1865;1916;long;1900-1920;ELTeC-deu;1915;;1922;;;;;low;50;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
